Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,SistemaVenta.API\SistemaVenta.API.csproj,File,SistemaVenta.API\SistemaVenta.API.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.5,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.5  Recomendación:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.3"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.API\SistemaVenta.API.csproj,File,SistemaVenta.API\SistemaVenta.API.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.BLL\SistemaVenta.BLL.csproj,File,SistemaVenta.BLL\SistemaVenta.BLL.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.DAL\SistemaVenta.DAL.csproj,File,SistemaVenta.DAL\SistemaVenta.DAL.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.DTO\SistemaVenta.DTO.csproj,File,SistemaVenta.DTO\SistemaVenta.DTO.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.IOC\SistemaVenta.IOC.csproj,File,SistemaVenta.IOC\SistemaVenta.IOC.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SistemaVenta.IOC\SistemaVenta.IOC.csproj,File,SistemaVenta.IOC\Dependencia.cs,31,12,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.AddAutoMapper(typeof(AutoMapperProfile));
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,SistemaVenta.Model\SistemaVenta.Model.csproj,File,SistemaVenta.Model\SistemaVenta.Model.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.1,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.1  Recomendación:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,SistemaVenta.Model\SistemaVenta.Model.csproj,File,SistemaVenta.Model\SistemaVenta.Model.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.1,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.1  Recomendación:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.Model\SistemaVenta.Model.csproj,File,SistemaVenta.Model\SistemaVenta.Model.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,SistemaVenta.Utility\SistemaVenta.Utility.csproj,File,SistemaVenta.Utility\SistemaVenta.Utility.csproj,,,,,,,,Marco de destino actual: net7.0 Marco de destino recomendado: net10.0
